username,comment,rating,likes,create_time,userid,orderid,product_name,product_type,product_label,comment_usefulness,comment_clean,tokens,tokens_count,sentiment,sentiment_confidence
c*****r,"Tampilan:bagus
Warna:abu

Bahan bagus dan tebal. Ada busa dibagian laptop sehingga terasa aman kl kebentur. desain nya okay dan ad dpt kabel utk slot charging yg ad di tas. Jahitan rapi dan packing juga rapi.",5,32,2025-09-29T11:35:25+00:00,126498215,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Abu,berguna,tampil bagus warna abu bahan bagus tebal busa bagi laptop asa aman kl bentur desain nya okay ad dpt kabel utk slot charging yg ad tas jahit rapi packing rapi,tampil bagus warna abu bahan bagus tebal busa bagi laptop asa aman kl bentur desain nya okay ad dpt kabel utk slot charging yg ad tas jahit rapi packing rapi,30,positive,1.0
w*****s,"Kak, tasnya bagus bgt. Sepadan dg harga. Kualitas dijamin bgt. Pengemasan dan pengiriman aman dan cepat. Thanks kak. Laris terus",5,22,2025-10-02T06:05:04+00:00,146039137,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Abu,berguna,kak tas bagus bgt padan dg harga kualitas jamin bgt emas kirim aman cepat thanks kak laris terus,kak tas bagus bgt padan dg harga kualitas jamin bgt emas kirim aman cepat thanks kak laris terus,18,positive,1.0
w*****i,"Tampilan:keren
Warna:cantikkk

bahannya oke, banyak kantongnya buat naro barang🥰",5,23,2025-09-11T10:23:36+00:00,567642253,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Abu,berguna,tampil keren warna cantikkk bahan oke banyak kantong buat naro barang,tampil keren warna cantikkk bahan oke banyak kantong buat naro barang,11,positive,1.0
ucup02081996,"Saran Tampilan:tampilan menarik
Pas untuk Acara:heeling. kerja
Styling:mantap",5,1,2023-08-17T02:12:49+00:00,397350952,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Abu,berguna,saran tampil tampil tarik pas acara heeling kerja styling mantap,saran tampil tampil tarik pas acara heeling kerja styling mantap,10,positive,1.0
e*****a,"Tampilan:Good
Warna:Gray

Tasnya bagus gak kecewa cuma lumayan lama pengiriman nya tapi selain itu bagus,muat laptop 15 inch juga worth it sih ini...",5,1,2025-09-07T13:18:24+00:00,1145521967,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Abu,berguna,tampil good warna gray tas bagus gak kecewa cuma lumayan lama kirim nya bagus muat laptop 15 inch worth it sih,tampil good warna gray tas bagus gak kecewa cuma lumayan lama kirim nya bagus muat laptop 15 inch worth it sih,21,positive,0.84
fitriyantiyully,"Tampilan:real pict
Warna:bagus dan cantik

Tasnya bagus, bahannya halus dan cocok banget untuk yang kerja bawaannya banyak. Responnya cepet dan pengirimannya juga cepet.",5,1,2023-11-11T03:49:10+00:00,88811239,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Abu,berguna,tampil real pict warna bagus cantik tas bagus bahan halus cocok banget kerja bawa banyak responnya cepet kirim cepet,tampil real pict warna bagus cantik tas bagus bahan halus cocok banget kerja bawa banyak responnya cepet kirim cepet,19,positive,1.0
galihalpatih549,"Desain:tampilannya bagus
Warna:abu abu
Ketebalan:tebal kuat dan nyaman

Bagus mudahan bisa awet solnya saya selalu bawa barang berat",5,1,2024-07-19T03:40:33+00:00,1255421911,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Abu,berguna,desain tampil bagus warna abu abu tebal tebal kuat nyaman bagus mudah awet sol selalu bawa barang berat,desain tampil bagus warna abu abu tebal tebal kuat nyaman bagus mudah awet sol selalu bawa barang berat,18,positive,1.0
rafkazafrankafabihi,"Tampilan:Bagus sesuai pesanan
Warna:Pas

Sangat baik...pengiriman cepat...bahan halus",5,7,2025-09-12T04:37:49+00:00,414149650,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Hitam,berguna,tampil bagus sesuai pesan warna pas sangat baik kirim cepat bahan halus,tampil bagus sesuai pesan warna pas sangat baik kirim cepat bahan halus,12,positive,1.0
bagoes_prayoga,"Warna:abu""
Tampilan:oke

Respon cepat,, ramah dan amanah...
Pengiriman cepat.. tetap pertahankan...",5,6,2025-07-17T19:02:56+00:00,114800890,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Abu,berguna,warna abu tampil oke respon cepat ramah amanah kirim cepat tetap tahan,warna abu tampil oke respon cepat ramah amanah kirim cepat tetap tahan,12,positive,1.0
,"Warna:abu-abu
Tampilan:bagus untuk cewek/cowok, simple

Gantungan kunci gak termasuk ya😂👍",5,0,2024-01-20T01:17:29+00:00,77882701,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Abu,berguna,warna abu abu tampil bagus cewek cowok simple gantung kunci gak masuk,warna abu abu tampil bagus cewek cowok simple gantung kunci gak masuk,12,positive,1.0
