username,comment,rating,likes,create_time,userid,orderid,product_name,product_type,product_label,comment_usefulness
c*****r,"Tampilan:bagus
Warna:abu

Bahan bagus dan tebal. Ada busa dibagian laptop sehingga terasa aman kl kebentur. desain nya okay dan ad dpt kabel utk slot charging yg ad di tas. Jahitan rapi dan packing juga rapi.",5,32,2025-09-29T11:35:25,126498215,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Abu,berguna
w*****s,"Kak, tasnya bagus bgt. Sepadan dg harga. Kualitas dijamin bgt. Pengemasan dan pengiriman aman dan cepat. Thanks kak. Laris terus",5,22,2025-10-02T06:05:04,146039137,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Abu,berguna
w*****i,"Tampilan:keren
Warna:cantikkk

bahannya oke, banyak kantongnya buat naro barang🥰",5,23,2025-09-11T10:23:36,567642253,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Abu,berguna
ucup02081996,"Saran Tampilan:tampilan menarik
Pas untuk Acara:heeling. kerja
Styling:mantap",5,1,2023-08-17T02:12:49,397350952,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Abu,berguna
e*****a,"Tampilan:Good
Warna:Gray

Tasnya bagus gak kecewa cuma lumayan lama pengiriman nya tapi selain itu bagus,muat laptop 15 inch juga worth it sih ini...",5,1,2025-09-07T13:18:24,1145521967,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Abu,berguna
fitriyantiyully,"Tampilan:real pict
Warna:bagus dan cantik

Tasnya bagus, bahannya halus dan cocok banget untuk yang kerja bawaannya banyak. Responnya cepet dan pengirimannya juga cepet.",5,1,2023-11-11T03:49:10,88811239,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Abu,berguna
galihalpatih549,"Desain:tampilannya bagus
Warna:abu abu
Ketebalan:tebal kuat dan nyaman

Bagus mudahan bisa awet solnya saya selalu bawa barang berat",5,1,2024-07-19T03:40:33,1255421911,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Abu,berguna
rafkazafrankafabihi,"Tampilan:Bagus sesuai pesanan
Warna:Pas

Sangat baik...pengiriman cepat...bahan halus",5,7,2025-09-12T04:37:49,414149650,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Hitam,berguna
bagoes_prayoga,"Warna:abu""
Tampilan:oke

Respon cepat,, ramah dan amanah...
Pengiriman cepat.. tetap pertahankan...",5,6,2025-07-17T19:02:56,114800890,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Abu,berguna
,"Warna:abu-abu
Tampilan:bagus untuk cewek/cowok, simple

Gantungan kunci gak termasuk ya😂👍",5,0,2024-01-20T01:17:29,77882701,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Abu,berguna
arifitrians23,Kualitas bagus. Realpict dan keren ini aku berdua sm pacar aku. Jd bisa buat cwk atau cwk wkwkwkwk mantep pokoknya ,5,7,2023-12-09T12:52:30,25712683,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,berguna
riestar,Bahan luarnya bagus bangettt... Suka... Banyak tempat penyimpanan... tempat untuk laptop ada busa.. Tp sayang antara bagian dalam dan bagian saku hanya ada pelapis tipis aja ga ada busa lagi..,5,3,2025-10-14T15:13:55,32413027,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Hitam,berguna
j*****i,"Desain:simpel dan elegaan
Warna:warna sesuai ekspetasi

Gaa usah ragu buat beli ini taas yaa 
harga sangat cocok  di kantong pelajar 
bisa  banget buat bawa banyak banrang , termasuk bawa laptop",5,4,2025-10-14T15:13:27,728557356,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Abu,berguna
muhammad121501faris,"Desain:bagus
Warna:sangat bagus
Ketebalan:barang juga tebal

Ada perlu perbaikan kerpian pada produk pada jahitan didalam tasnya dan juga pada lubang cash",5,0,2024-08-25T14:36:34,233094181,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Abu,berguna
i*****_,"Tampilan:cukup bagus

Lumayan sih, agak tipis yah, terus jg ada yg sobek, yg paling ga ngerti fungsi yg disamping itu buat apa ya? Buat hiasan doang kah? Soalnya ga sesuai sama yg di gambar, ga bisa buat ngecas itu, bingung jg dpt kabel tp mau dicolokin kemana 😂 agak kecewa sih dg harga segitu tp dpt barang nya yg kayak begini.",3,5,2025-09-14T00:45:16,794584496,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Hitam,berguna
novia.arsyadimadja,Tampilan:bagus cukup worth it untuk harga segitu bnyak space nya.. bahan cukup bagus,5,0,2024-03-29T00:47:46,334615856,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Abu,berguna
fafayunata,"Desain:keren,
Warna:sesuai dgn katalog dan ekspektasi
Ketebalan:tebal

word it dgn harga..
tasnya kekinian.
sarannya adakan dong produk impor biar resnya lebih tebal lagi.
pada umumnya keren, bagus. suami suka",4,1,2025-09-14T00:45:50,1169071886,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Abu,berguna
s*****7,tasnya bahan parasut gitu tp ternyata lumayan bgs!! lumayan agak sedeng gak bessr ga kecil tp muat banyak. ga nyesel deh kerennnn!!,5,1,2020-11-13T13:49:13,133189383,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,berguna
m*****r,"Desain:bagus
Warna:hitam
Ketebalan:cukup

Ada harga ada kualitas",5,0,2025-10-02T06:06:26,1055442216,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Hitam,berguna
7*****5,,5,1,2025-10-09T14:19:45,238777958,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Abu,tidak_berguna
