username,comment,rating,likes,create_time,userid,orderid,product_name,product_type,product_label,comment_usefulness,comment_clean,tokens,tokens_count,sentiment,sentiment_confidence,text_len,char_repeat_ratio,token_repeat_ratio,dup_score,mismatch,suspicion_score,fake_pred,fake_score,sentiment_val,likes_term,rating_term,trust_score
c*****r,"Tampilan:bagus
Warna:abu

Bahan bagus dan tebal. Ada busa dibagian laptop sehingga terasa aman kl kebentur. desain nya okay dan ad dpt kabel utk slot charging yg ad di tas. Jahitan rapi dan packing juga rapi.",5.0,32,2025-09-29T11:35:25+00:00,126498215,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Abu,berguna,tampil bagus warna abu bahan bagus tebal busa bagi laptop asa aman kl bentur desain nya okay ad dpt kabel utk slot charging yg ad tas jahit rapi packing rapi,tampil bagus warna abu bahan bagus tebal busa bagi laptop asa aman kl bentur desain nya okay ad dpt kabel utk slot charging yg ad tas jahit rapi packing rapi,30,negative,0.3624207377433777,157,0.0,0.2,0.0,1.0,0.25,0,0.25,0.0,0.19184755920432678,0.2,36.25
w*****s,"Kak, tasnya bagus bgt. Sepadan dg harga. Kualitas dijamin bgt. Pengemasan dan pengiriman aman dan cepat. Thanks kak. Laris terus",5.0,22,2025-10-02T06:05:04+00:00,146039137,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Abu,berguna,kak tas bagus bgt padan dg harga kualitas jamin bgt emas kirim aman cepat thanks kak laris terus,kak tas bagus bgt padan dg harga kualitas jamin bgt emas kirim aman cepat thanks kak laris terus,18,negative,0.3490451872348785,96,0.0,0.2222222222222222,0.0,1.0,0.2555555555555555,0,0.2555555555555555,0.0,0.17783936832753322,0.2,34.89
w*****i,"Tampilan:keren
Warna:cantikkk

bahannya oke, banyak kantongnya buat naro barang🥰",5.0,23,2025-09-11T10:23:36+00:00,567642253,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Abu,berguna,tampil keren warna cantikkk bahan oke banyak kantong buat naro barang,tampil keren warna cantikkk bahan oke banyak kantong buat naro barang,11,negative,0.3805846869945526,69,0.0289855072463768,0.0,0.0,1.0,0.2072463768115942,0,0.2072463768115942,0.0,0.17994823125543924,0.2,35.63
ucup02081996,"Saran Tampilan:tampilan menarik
Pas untuk Acara:heeling. kerja
Styling:mantap",5.0,1,2023-08-17T02:12:49+00:00,397350952,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Abu,berguna,saran tampil tampil tarik pas acara heeling kerja styling mantap,saran tampil tampil tarik pas acara heeling kerja styling mantap,10,negative,0.4028425514698028,64,0.015625,0.2,0.0,1.0,0.25390625,0,0.25390625,0.0,0.019032516392808098,0.2,20.23
e*****a,"Tampilan:Good
Warna:Gray

Tasnya bagus gak kecewa cuma lumayan lama pengiriman nya tapi selain itu bagus,muat laptop 15 inch juga worth it sih ini...",5.0,1,2025-09-07T13:18:24+00:00,1145521967,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Abu,berguna,tampil good warna gray tas bagus gak kecewa cuma lumayan lama kirim nya bagus muat laptop 15 inch worth it sih,tampil good warna gray tas bagus gak kecewa cuma lumayan lama kirim nya bagus muat laptop 15 inch worth it sih,21,negative,0.3848979473114013,110,0.009090909090909,0.0952380952380952,0.0,1.0,0.2260822510822511,0,0.2260822510822511,0.0,0.019032516392808098,0.2,20.42
fitriyantiyully,"Tampilan:real pict
Warna:bagus dan cantik

Tasnya bagus, bahannya halus dan cocok banget untuk yang kerja bawaannya banyak. Responnya cepet dan pengirimannya juga cepet.",5.0,1,2023-11-11T03:49:10+00:00,88811239,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Abu,berguna,tampil real pict warna bagus cantik tas bagus bahan halus cocok banget kerja bawa banyak responnya cepet kirim cepet,tampil real pict warna bagus cantik tas bagus bahan halus cocok banget kerja bawa banyak responnya cepet kirim cepet,19,negative,0.3291786909103393,116,0.0086206896551724,0.2105263157894736,0.0,1.0,0.2547867513611615,0,0.2547867513611615,0.0,0.019032516392808098,0.2,20.23
galihalpatih549,"Desain:tampilannya bagus
Warna:abu abu
Ketebalan:tebal kuat dan nyaman

Bagus mudahan bisa awet solnya saya selalu bawa barang berat",5.0,1,2024-07-19T03:40:33+00:00,1255421911,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Abu,berguna,desain tampil bagus warna abu abu tebal tebal kuat nyaman bagus mudah awet sol selalu bawa barang berat,desain tampil bagus warna abu abu tebal tebal kuat nyaman bagus mudah awet sol selalu bawa barang berat,18,negative,0.3391177952289581,103,0.0,0.3333333333333333,0.0,1.0,0.2833333333333333,0,0.2833333333333333,0.0,0.019032516392808098,0.2,20.04
rafkazafrankafabihi,"Tampilan:Bagus sesuai pesanan
Warna:Pas

Sangat baik...pengiriman cepat...bahan halus",5.0,7,2025-09-12T04:37:49+00:00,414149650,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Hitam,berguna,tampil bagus sesuai pesan warna pas sangat baik kirim cepat bahan halus,tampil bagus sesuai pesan warna pas sangat baik kirim cepat bahan halus,12,negative,0.3255318105220794,71,0.0,0.0,0.0,1.0,0.2,0,0.2,0.0,0.1006829392417181,0.2,28.26
bagoes_prayoga,"Warna:abu""
Tampilan:oke

Respon cepat,, ramah dan amanah...
Pengiriman cepat.. tetap pertahankan...",5.0,6,2025-07-17T19:02:56+00:00,114800890,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Abu,berguna,warna abu tampil oke respon cepat ramah amanah kirim cepat tetap tahan,warna abu tampil oke respon cepat ramah amanah kirim cepat tetap tahan,12,negative,0.3730851709842682,70,0.0,0.1666666666666666,0.0,1.0,0.2416666666666666,0,0.2416666666666666,0.0,0.09023767278119471,0.2,26.92
,"Warna:abu-abu
Tampilan:bagus untuk cewek/cowok, simple

Gantungan kunci gak termasuk ya😂👍",5.0,0,2024-01-20T01:17:29+00:00,77882701,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Abu,berguna,warna abu abu tampil bagus cewek cowok simple gantung kunci gak masuk,warna abu abu tampil bagus cewek cowok simple gantung kunci gak masuk,12,negative,0.382901668548584,69,0.0,0.1666666666666666,0.0,1.0,0.2416666666666666,0,0.2416666666666666,0.0,0.0,0.2,18.55
