[2025-12-17T01:16:04.949700] SCRAPER using user profile: user-data=Microsoft/Edge/User Data profile=None
[2025-12-17T01:16:04.949789] SCRAPER detected Linux OS; using direct driver initialization
[2025-12-17T01:16:04.949880] SCRAPER initializing Edge driver for Linux
[2025-12-17T01:16:05.770066] SCRAPER Edge driver initialized successfully on Linux
[2025-12-17T01:16:21.384799] SCRAPER injected 26 cookies from cookies.json into session
[2025-12-17T01:16:26.231284] SCRAPER product tab detected; proceeding
[2025-12-17T01:16:26.231494] SCRAPER fetch product data
[2025-12-17T01:16:30.066843] SCRAPER fetch comments
[2025-12-17T01:16:31.282479] SCRAPER page 1: collected 20/1998
[2025-12-17T01:16:32.075461] SCRAPER page 2: collected 40/1998
[2025-12-17T01:16:32.579429] SCRAPER page 3: collected 60/1998
[2025-12-17T01:16:33.062324] SCRAPER page 4: collected 80/1998
[2025-12-17T01:16:33.602540] SCRAPER page 5: collected 100/1998
[2025-12-17T01:16:34.087902] SCRAPER page 6: collected 120/1998
[2025-12-17T01:16:34.613620] SCRAPER page 7: collected 140/1998
[2025-12-17T01:16:35.040537] SCRAPER page 8: collected 160/1998
[2025-12-17T01:16:35.492756] SCRAPER page 9: collected 180/1998
[2025-12-17T01:16:35.948536] SCRAPER page 10: collected 200/1998
[2025-12-17T01:16:36.476760] SCRAPER page 11: collected 220/1998
[2025-12-17T01:16:36.872548] SCRAPER page 12: collected 240/1998
[2025-12-17T01:16:37.367609] SCRAPER page 13: collected 260/1998
[2025-12-17T01:16:37.829415] SCRAPER page 14: collected 280/1998
[2025-12-17T01:16:38.321501] SCRAPER page 15: collected 300/1998
[2025-12-17T01:16:38.788250] SCRAPER page 16: collected 320/1998
[2025-12-17T01:16:39.240432] SCRAPER page 17: collected 340/1998
[2025-12-17T01:16:39.726041] SCRAPER page 18: collected 360/1998
[2025-12-17T01:16:40.121639] SCRAPER page 19: collected 380/1998
[2025-12-17T01:16:40.594756] SCRAPER page 20: collected 400/1998
[2025-12-17T01:16:40.999645] SCRAPER page 21: collected 420/1998
[2025-12-17T01:16:41.413795] SCRAPER page 22: collected 440/1998
[2025-12-17T01:16:41.853802] SCRAPER page 23: collected 460/1998
[2025-12-17T01:16:42.275484] SCRAPER page 24: collected 480/1998
[2025-12-17T01:16:42.760525] SCRAPER page 25: collected 500/1998
[2025-12-17T01:16:43.148414] SCRAPER page 26: collected 520/1998
[2025-12-17T01:16:43.662671] SCRAPER page 27: collected 540/1998
[2025-12-17T01:16:44.057263] SCRAPER page 28: collected 560/1998
[2025-12-17T01:16:44.427831] SCRAPER page 29: collected 580/1998
[2025-12-17T01:16:44.786611] SCRAPER page 30: collected 600/1998
[2025-12-17T01:16:45.168773] SCRAPER page 31: collected 620/1998
[2025-12-17T01:16:45.660881] SCRAPER page 32: collected 640/1998
[2025-12-17T01:16:46.135816] SCRAPER page 33: collected 660/1998
[2025-12-17T01:16:46.512472] SCRAPER page 34: collected 680/1998
[2025-12-17T01:16:46.958622] SCRAPER page 35: collected 700/1998
[2025-12-17T01:16:47.352474] SCRAPER page 36: collected 720/1998
[2025-12-17T01:16:47.734746] SCRAPER page 37: collected 740/1998
[2025-12-17T01:16:48.121682] SCRAPER page 38: collected 760/1998
[2025-12-17T01:16:48.773822] SCRAPER page 39: collected 780/1998
[2025-12-17T01:16:49.347552] SCRAPER page 40: collected 800/1998
[2025-12-17T01:16:49.868217] SCRAPER page 41: collected 820/1998
[2025-12-17T01:16:50.431973] SCRAPER page 42: collected 840/1998
[2025-12-17T01:16:50.876129] SCRAPER page 43: collected 860/1998
[2025-12-17T01:16:51.281792] SCRAPER page 44: collected 880/1998
[2025-12-17T01:16:51.793759] SCRAPER page 45: collected 900/1998
[2025-12-17T01:16:59.349497] SCRAPER page 46: collected 920/1998
[2025-12-17T01:17:00.064380] SCRAPER page 47: collected 940/1998
[2025-12-17T01:17:00.680616] SCRAPER page 48: collected 960/1998
[2025-12-17T01:17:01.332439] SCRAPER page 49: collected 980/1998
[2025-12-17T01:17:02.012893] SCRAPER page 50: collected 999/1998
[2025-12-17T01:17:02.141914] SCRAPER finished; total 999 reviews saved
