username,comment,rating,likes,create_time,comment_clean
s*****i,"Barangnya sampe dengan selamat sentosa. Packingnya aman, bubble wrap super duper banyak. Lecet dan sebagainya gada masalah. Speaker, trackpad, layar, keyboard juga aman. Udah dapet mouse sama tas lagi. Mantap sihhh! Apalagi adminnya fastrespon parah, ini best. 100000/10 😻👍🏻",5,277,1765872573,barangnya sampe dengan selamat sentosa packingnya aman bubble wrap super duper banyak lecet dan sebagainya gada masalah speaker trackpad layar keyboard juga aman udah dapet mouse sama tas lagi mantap sihhh apalagi adminnya fastrespon parah ini best 100000 10
,"Fungsi:normal
Kondisi Barang:msh sangat bagus
Spesifikasi:keren

Pertama kali beli barang elektronik secara online, awalnya agak ragu, tapi stlh barang kami terima dan dicoba pake, hasilnya sangat sangat puas....

Semoga awet...",5,281,1765814457,fungsi normal kondisi barang msh sangat bagus spesifikasi keren pertama kali beli barang elektronik secara online awalnya agak ragu tapi stlh barang kami terima dan dicoba pake hasilnya sangat sangat puas semoga awet
n*****s,"Fungsi:Sangat Baik
Kondisi Barang:Pemakaian normal
Spesifikasi:TOP

Nyari laptop 2jtan untuk nyusun skripsi, dan nemu mac ini. Awalnya ragu karena mac os lama (takut gak support banyak hal), tapi it's fine! Semua app yang kubutuhin bisa di install termasuk SPSS (meski pakai versi 25). 

Untuk browser, karena beberapa browser termasuk safari sudah tidak support mac os 10.13 untuk versi ter-updatenya. Aku pakai firefox dengan download firefox esr-nya, browser jadi lebih update.

Overall semua bagus, performa laptop kebut, keyboard ok, backlight nyala, trackpad oke, speaker oke, baterai masih oke untuk ukuran laptop second. Sudah diinstall Ms. Office juga sama seller, bonus adobe ps, dapet tas dan mouse juga.

Terima kasih atas pelayanan dan barangnya! sukses selalu untuk seller dan tokonya.",5,85,1765821173,fungsi sangat baik kondisi barang pemakaian normal spesifikasi top nyari laptop 2jtan untuk nyusun skripsi dan nemu mac ini awalnya ragu karena mac os lama takut gak support banyak hal tapi it s fine semua app yang kubutuhin bisa di install termasuk spss meski pakai versi 25 untuk browser karena beberapa browser termasuk safari sudah tidak support mac os 10 13 untuk versi ter updatenya aku pakai firefox dengan download firefox esr nya browser jadi lebih update overall semua bagus performa laptop kebut keyboard ok backlight nyala trackpad oke speaker oke baterai masih oke untuk ukuran laptop second sudah diinstall ms office juga sama seller bonus adobe ps dapet tas dan mouse juga terima kasih atas pelayanan dan barangnya sukses selalu untuk seller dan tokonya
elok.5667,"Fungsi:bekerja dengan baik
Kondisi Barang:mulus dan sesuai feskripsi
Spesifikasi:mantap dan penjualnya responsif

Apk di password dan penjual sangat respect. Kurir juga baik dg menginfokn barang yg diantarkan. Terima kasih semuanya dan semoga awet barangnya.",5,71,1765105764,fungsi bekerja dengan baik kondisi barang mulus dan sesuai feskripsi spesifikasi mantap dan penjualnya responsif apk di password dan penjual sangat respect kurir juga baik dg menginfokn barang yg diantarkan terima kasih semuanya dan semoga awet barangnya
d*****2,"Fungsi:berfungsi dengn baik
Kondisi Barang:mulussssss
Spesifikasi:good

Bagus muluss lecet dikit² mah wajar ya namanya second kalo ngak bener² di perhatiin ngak keliatan masih kayak baru dengan harga segini udah bagus banget sih
sellernya past respon minta di download in apk di download in dong, pas dateng langsung buat nugas alhamdulillah lancar semua berfungsi dengan baik dan semoga awet terimakasih seller",5,64,1765810350,fungsi berfungsi dengn baik kondisi barang mulussssss spesifikasi good bagus muluss lecet dikit mah wajar ya namanya second kalo ngak bener di perhatiin ngak keliatan masih kayak baru dengan harga segini udah bagus banget sih sellernya past respon minta di download in apk di download in dong pas dateng langsung buat nugas alhamdulillah lancar semua berfungsi dengan baik dan semoga awet terimakasih seller
m*****6,"Paket telah diterima dengan baik. Kualitas sesuai gambar, harga terjangkau, pengemasan rapi dan pengiriman tepat waktu. Recommended seller. Terima kasih atas servis yang memuaskan. Jadi langganan disini. Suka deh.",5,21,1764614717,paket telah diterima dengan baik kualitas sesuai gambar harga terjangkau pengemasan rapi dan pengiriman tepat waktu recommended seller terima kasih atas servis yang memuaskan jadi langganan disini suka deh
ikadanawati,"Fungsi:bekerja dengan baik
Kondisi Barang:Bagus
Spesifikasi:bagus

Meskipun keluaran 2011 tapi masih bisa di gunakan dengan baik , mantap, admin juga fast respon",5,22,1764516328,fungsi bekerja dengan baik kondisi barang bagus spesifikasi bagus meskipun keluaran 2011 tapi masih bisa di gunakan dengan baik mantap admin juga fast respon
chaniagorival27,"Kondisi Barang:masih mulus, walaupun masih ad dikit bekas goresan
Fungsi:bagus, cuma Keyboard di bagian huruf setelah L ga bisa di pakai
Spesifikasi:over all bagus semua",5,21,1765113089,kondisi barang masih mulus walaupun masih ad dikit bekas goresan fungsi bagus cuma keyboard di bagian huruf setelah l ga bisa di pakai spesifikasi over all bagus semua
cutanisyahnovira,"Bagus..
Walaupun barang keluaran tahun rendah tapi ini Second berkualitas..
Sompel & penyok dikit gak ngaruh..wajar juga karna barang second",5,14,1764604615,bagus walaupun barang keluaran tahun rendah tapi ini second berkualitas sompel penyok dikit gak ngaruh wajar juga karna barang second
enceps03041984,"Barang sudah saya terima dengan baik dan sangat membuat dengan kondisi barang yg sangat bagus sekali, mudah digunakannya awet",5,9,1763402922,barang sudah saya terima dengan baik dan sangat membuat dengan kondisi barang yg sangat bagus sekali mudah digunakannya awet
f*****a,"Fungsi:berfungsi dgn baik
Kondisi Barang:baik dan sesuai harapan
Kegunaan:sangat cocok buat kerja, kuliah, dll, sudah dicoba umumnya bagus berfungsi dgn baik, namun nnti dicek lgi muda2han tak ada kendala dan awet, best buat penjual semoga next bs order lgi",5,9,1765687877,fungsi berfungsi dgn baik kondisi barang baik dan sesuai harapan kegunaan sangat cocok buat kerja kuliah dll sudah dicoba umumnya bagus berfungsi dgn baik namun nnti dicek lgi muda2han tak ada kendala dan awet best buat penjual semoga next bs order lgi
nhzndc,"Fungsi:baik
Kondisi Barang:mulus
Kegunaan:baik

Sangat cocok untuk anak kuliah, bagus, elegan",5,12,1764196796,fungsi baik kondisi barang mulus kegunaan baik sangat cocok untuk anak kuliah bagus elegan
carisa_alunk,"Barang sudah sampai dengan selamat,kondisi baik,,thanks seler..",5,14,1763550981,barang sudah sampai dengan selamat kondisi baik thanks seler
ajo17111987,"Fungsi:Sangat baik
Kondisi Barang:Sesuai dengan permintaan
Kegunaan:Work

Barang bagus
Berfungsi dengan baik
Sangat rekomendasi
Cocok sekali
Sesuai dengan pesanan
Ramah dan bertanggung jawab",5,14,1763688695,fungsi sangat baik kondisi barang sesuai dengan permintaan kegunaan work barang bagus berfungsi dengan baik sangat rekomendasi cocok sekali sesuai dengan pesanan ramah dan bertanggung jawab
erwankrismawan,"Fungsi:Ok
Kondisi Barang:Ok
Desain:Ok

Brg mendarat dgn baik, dari brg datang sampe skrg ada notif update software, tp gagal trus saat mau diinstal, msh dlm progres update ulang yg ke 2 x nya",5,0,1764934750,fungsi ok kondisi barang ok desain ok brg mendarat dgn baik dari brg datang sampe skrg ada notif update software tp gagal trus saat mau diinstal msh dlm progres update ulang yg ke 2 x nya
phosshopmedan.1111,,5,57,1765893855,nan
princemitshop_,"Fungsi:beroperasi dengan sangat baik
Kondisi Barang:mulus no minus

Awalnya bingung cara pakai nya kyak gmna, tp sama admin di ajari dengan baik, barang ga ada cacat sama sekali, sukak bnget buat geser""ga lemot lelet, sat set deh pokok🥰 makasihh minn",5,0,1746437105,fungsi beroperasi dengan sangat baik kondisi barang mulus no minus awalnya bingung cara pakai nya kyak gmna tp sama admin di ajari dengan baik barang ga ada cacat sama sekali sukak bnget buat geser ga lemot lelet sat set deh pokok makasihh minn
myimmortals,"Kondisi Barang:ok
Fungsi:ok
Spesifikasi:ok

Seller ramah dan cepat pelayanan nya
Rekomendasi banget 
Belanja di toko ini 
👍👍👍👍👍",5,2,1755593633,kondisi barang ok fungsi ok spesifikasi ok seller ramah dan cepat pelayanan nya rekomendasi banget belanja di toko ini
t*****f,"Fungsi:perfectly work
Kondisi Barang:mulus
Spesifikasi:excellent

thanks a lot for merchant, Im very satisfied",5,15,1764014602,fungsi perfectly work kondisi barang mulus spesifikasi excellent thanks a lot for merchant im very satisfied
ell_anggraella,"Fungsi:ok
Kondisi Barang:mulus
Spesifikasi:mantap

Terima kasih kaa, barang masih mulus dan siap pakai. Mantap 🥳🙏🏼",5,4,1761649553,fungsi ok kondisi barang mulus spesifikasi mantap terima kasih kaa barang masih mulus dan siap pakai mantap
asti1401,"Fungsi:leptopnya hidup,fungsinya oke
Kondisi Barang:bekas tapi bagus,bisa dipake buat nugas dan kerja fungsinya oke lah
Desain:sangat menarik.walpun ada yang lecet penyot wkwk

Adaptornya rusak dan gak bisa ngrcas,tapi aku udah minta tolong adminya buat bantu kendala aku,dan syukur adminya ramah pool baik dan cepat respon.nanti kalau adaptor ku dikirim balik ke aku..aku baru up penilaian lagi",2,10,1765101780,fungsi leptopnya hidup fungsinya oke kondisi barang bekas tapi bagus bisa dipake buat nugas dan kerja fungsinya oke lah desain sangat menarik walpun ada yang lecet penyot wkwk adaptornya rusak dan gak bisa ngrcas tapi aku udah minta tolong adminya buat bantu kendala aku dan syukur adminya ramah pool baik dan cepat respon nanti kalau adaptor ku dikirim balik ke aku aku baru up penilaian lagi
hakim196,"laptop mendarat dengan baik, berfungsi ok respon admin oke, rekomended dan amanah",5,2,1753925441,laptop mendarat dengan baik berfungsi ok respon admin oke rekomended dan amanah
samudraaaa,"Fungsi:good l, ngebudd
Kondisi Barang:bagusss
Spesifikasi:sesuai

keluaran "" late  2011""",5,2,1757179925,fungsi good l ngebudd kondisi barang bagusss spesifikasi sesuai keluaran late 2011
d*****h,"Fungsi:semua komponen beroperasi dengan baik
Kondisi Barang:masih bagus
Desain:menarik

Respon penjual sangat baik",5,0,1764949750,fungsi semua komponen beroperasi dengan baik kondisi barang masih bagus desain menarik respon penjual sangat baik
h*****4,"Fungsi:normal sesuai dengan yang di harapkan
Kondisi Barang:yes this item is smooth
Desain:terlihat keren dan moderen

Mantap mose nya di kasih 2 dan tas nya di kasi 2 woy lah mantap lah🫵🏻",5,17,1763945751,fungsi normal sesuai dengan yang di harapkan kondisi barang yes this item is smooth desain terlihat keren dan moderen mantap mose nya di kasih 2 dan tas nya di kasi 2 woy lah mantap lah
kreatiftik,Fungsi:bekerja dengan baik barang normal dan mulus,5,2,1763551091,fungsi bekerja dengan baik barang normal dan mulus
ekasatriautama,"Fungsi:utk sementara fungsi berjalan lancar
Kondisi Barang:kondisi barang bagus seperti baru
Kegunaan:sementara cek baik

Puas dwngan kondisi laptop seperti baru, terima kasih seller",5,4,1762859772,fungsi utk sementara fungsi berjalan lancar kondisi barang kondisi barang bagus seperti baru kegunaan sementara cek baik puas dwngan kondisi laptop seperti baru terima kasih seller
rehanharizsi,"Fungsi:Sangat optimal untuk office dan game edukasi
Kondisi Barang:90% masih gress, cuma sedikit banget dent dan scratch
Desain:keren dan ga ketinggalan jaman

Buat body 90%, masih bagus banget terhitung dari umur Mac ini sih luar biasa, dan sedikit scratch tapi ga ngaruh Klo pakai cover.

Untuk fungsi sejauh saya coba sekarang masih oke banget untuk office, browsing, YouTube, music dan game edukasi ringan untuk toodler.

Suara masih jernih, layar ga ada white spot, aman sentosa.

Ty buat admin dan tokonya yg ga bosen jawab pertanyaan saya, sukses terus.

Puas banget",5,2,1763551935,fungsi sangat optimal untuk office dan game edukasi kondisi barang 90 masih gress cuma sedikit banget dent dan scratch desain keren dan ga ketinggalan jaman buat body 90 masih bagus banget terhitung dari umur mac ini sih luar biasa dan sedikit scratch tapi ga ngaruh klo pakai cover untuk fungsi sejauh saya coba sekarang masih oke banget untuk office browsing youtube music dan game edukasi ringan untuk toodler suara masih jernih layar ga ada white spot aman sentosa ty buat admin dan tokonya yg ga bosen jawab pertanyaan saya sukses terus puas banget
tri_wiyono,"Fungsi:bagus
Kondisi Barang:mulus
Spesifikasi:early 2011

Ternyata bukan MD101 tapi macbookpro 2011..barang mulus..dan normal..",5,7,1761184947,fungsi bagus kondisi barang mulus spesifikasi early 2011 ternyata bukan md101 tapi macbookpro 2011 barang mulus dan normal
satriamuhammad99,"Fungsi:baik
Kondisi Barang:mulus
Spesifikasi:baik

Dapat charger macbook seperti ini.. overall laptop second yang cukup bagus dan murah masih bisa digunakan untuk pekerjaan kantor",4,4,1763551097,fungsi baik kondisi barang mulus spesifikasi baik dapat charger macbook seperti ini overall laptop second yang cukup bagus dan murah masih bisa digunakan untuk pekerjaan kantor
rickyabraham,,5,2,1757341976,nan
alistamaharani18,"Mungkin karena murah, dikasih yg ga bagus.. 
Minimal yg ga ada kendala browsing ,walaupun body kurang bersih..",5,5,1747424679,mungkin karena murah dikasih yg ga bagus minimal yg ga ada kendala browsing walaupun body kurang bersih
r*****l,,5,2,1765851268,nan
a*****a,"Fungsi:beroperasi dengan baik
Kondisi Barang:datang dalam keadaan mulus dan aman

terimakasih kakak 🎀🫶🏼",5,0,1742699748,fungsi beroperasi dengan baik kondisi barang datang dalam keadaan mulus dan aman terimakasih kakak
l*****h,"Kondisi Barang:Baik

tapi kok saya gk bisa download apk word-nya yahh??? 
mohon bantuannya dong min🙏🏻",4,12,1765889583,kondisi barang baik tapi kok saya gk bisa download apk word nya yahh mohon bantuannya dong min
r*****i,"Fungsi:Beroperasi baik
Kondisi Barang:Mulus
Desain:Modern

Barang datang mulus dengan packing yang baik, berfungsi baik. Seller amanah, ramah dan fast respon. Sukses selalu seller. Terima kasih",5,3,1763375997,fungsi beroperasi baik kondisi barang mulus desain modern barang datang mulus dengan packing yang baik berfungsi baik seller amanah ramah dan fast respon sukses selalu seller terima kasih
wina8189,"Fungsi:berfungsi baik dan bagus
Kondisi Barang:packing aman dan baik
Desain:macbook pro asli tapi versi lama 2017 untuk download aplikasi tidak mendukung.. tapi masih digunakan untuk kita bekerja wa dan zoom bisa dipakai dan Microsoft Office lainnya..",5,2,1765574440,fungsi berfungsi baik dan bagus kondisi barang packing aman dan baik desain macbook pro asli tapi versi lama 2017 untuk download aplikasi tidak mendukung tapi masih digunakan untuk kita bekerja wa dan zoom bisa dipakai dan microsoft office lainnya
junio_desukasdo,"Kondisi Barang:Baik
Fungsi:Baik
Spesifikasi:Sesuai",5,5,1764266946,kondisi barang baik fungsi baik spesifikasi sesuai
devratt,,5,0,1752481610,nan
