comment,tags,sentiment,is_fake,trust_score
"Sangat di recomended sekali,bagi para kalian yg sedang mencari PC gaming dikarnakan bisa req spek sesuai yg kalian mau. Dan tentunya produk sangat baik,sudah ter instal semua applikasi maupun software kita tinggal pakai saja. Dan untuk penjual pelayanannya sangat ramah sekali dan membantu. Terimakasih",Masalah Penjual,positive,False,97.97
"Desain:Keren
Fungsi:Bekerja dg baik
Spesifikasi:Mantap Sesuai Deskripsi

Dikirim beserta Box part-nya dan Isinya Real sesuai. Part-nya Bukan Kaleng-kaleng , Sempet khawatir Kok Murah takut ada barang yg bekas nya, ternyata semua baru.",Harga Murah,positive,False,98.18
"Fitur Terbaik:PC nya keren
Sepadan dengan Harga:sepadan

PC gamingnya bagus banget, full kipas gaming RGB keren sih. Minta dadakan utk nambah VGA External pun bisa, tinggal WA saja.

Makasih hifi computer, sukses dan berkah selalu",Kualitas Bagus,positive,False,98.72
"Desain:pretty good, andaikan kipas cpu nya menyala tapi gak apa apa
Fungsi:bekerja, sejauh ini cukup bagus, mungkin ada beberapa kesalahan pengguna tapi bisa dibantu toko
Spesifikasi:Ryzen 5 5600g/16gb/256ssd CPU only! keyboard, Mouse, Monitor beli terpisah

Barang datang dengan aman, Rekomendasi sekali dengan PC rakitan ini, jalan tempuh upgrade nya cukup bagus, mungkin yang kurang itu karna motherboard nya Micro ATX jadi hanya satu slot SSD, PSU nya oke aja yang penting pilih pilih ukuran dan pemakaian daya GPU yang mau di beli nanti, yang bikin kaget itu ram nya yang ku kira bakal dapat 8gb ram X2 untuk biar dapat 16 GB ram, ternyata satu stik ram 16gb jadi masih bisa di upgrade ke 32gb ram, untuk yang ingin membeli ingat harus beli ethernet kabel atau gak dongle wifi/bluetooth, selain dari itu gak kecewa beli yang satu ini.",Kualitas Bagus | Direkomendasikan | Masalah Ukuran,neutral,False,66.48
"Desain:terlihat keren dan modern
Fungsi:beroperasi dengan baik
Spesifikasi:sesuai dgn yg di pesan, bisa tanya2

garcep kirim barang, dan balas chat responsive.

Sumbar 7 hari nyampe.",,positive,False,99.46
"Desain:terlihat keren dan modern
Fungsi:bekerja dengan baik sesuai harapan
Spesifikasi:sesuai dengan deskripsi produk

Alhamdullilah puas belanja disini. Seller ramah dan menjawab setiap pertanyaan. Seller juga memberikan beberapa opsi yg sesuai dengan kebutuhan user.

Terimakasih dan semoga laris terus dagangannya",Puas,positive,False,95.75
"Desain:kece gaming kaum mendang-mending
Fungsi:berfungsi baik
Spesifikasi:Ryzen 5 5600G ram 16gb SSD 256gb

Barang kondisi part bagus, baru semua. Respon toko satset untuk konsultasi PC juga gercep. Rekomendasi bgt untuk beli di toko ini. Untuk upgrade selanjutnya aku akan kesini lagi. Terimakasih banyak kak udah dibantu merakit PC perdana aku. Seneng bgt.",Kualitas Bagus | Respon Lambat | Direkomendasikan,positive,False,97.4
"Desain:Bagus Keren
Fungsi:Untuk Fungsi semua berjalan lancar
Spesifikasi:FULLSET SAMSUNG 24 R5 5600G/1TB/32GB

Overlor semua nya bagus ya gak mengecewakan pokok nya, Untuk admin nya juga ramah dan fast respon jika ada pertanyaan
Cocok Buat yg pengen beli pc full set rakitan disini tempat nya
The Bestt!!!!!",Kualitas Bagus | Respon Lambat,positive,False,94.53
"Desain:keren dan modern
Fungsi:bekerrja dengan baik
Spesifikasi:cpu only

Barang udah sampe,sampainya cepat sekali,padahal luar pulau jawa,packing kayu keliatan kuat,awalny takut,retak,eh rupanya aman sekali.
Sesuai yang kita pesan,saran yang mau pesen terutama yg main game,pesen penyimpanaan yg besar,yang lain aman oke,rekomended beli di toko ini
Semoga cpu ny awet dan aman",,positive,False,92.71
"Desain:keren dan mantap di harga segini
Fungsi:bekerja dengan baik

Akhirnya cpu rakitan mendarat dengan aman di sumatera barat. Sudah di tes dan semua berfungsi dengan normal. Recommended seller",Harga,positive,False,86.04
"Desain:sangat-sangat menarik
Spesifikasi:mantul abis
Fitur:terbaik

Paket sampai dengan selamat. 
Packingan super aman. 
Barang sesuai pesanan, sangat bagus & berfungsi dengan sangat baik. 
Seller jg ramah & baik dalam pelayanan. 
Pokoknya the best dah. 👍👍👍👍👍",Kualitas Bagus,positive,False,98.25
"Desain:kondisi part sangat baru
Fungsi:barangnya berfungsi dengan baik
Spesifikasi:sangat bagus

Kalau kalian mau rakit PC saya rekomendasikan di toko ini,,, soalnya saya Uda beli di sini udah 3 bulan barang sampai enggak ada Kendala,,,, Terus saya baru beli VGA di toko lain saya enggak bisa pasang sendiri saya chat admi nya di bantuin sama admin nya sampai bisa pokoknya enggak nyesel beli di sini sekali lagi terima untuk admin nya.ini saya enggak bohong loh,,,, pasti ada yang pikir saya di bayar admin untuk kasih review yang bagus tapi ini enggak sama sekali loh ini beneran saya selaku pembeli",Kualitas Bagus,positive,False,94.1
"Desain:bagus menarik
Fungsi:bekerja dengan baik
Kegunaan:baik lancar jaya jaya jaya",,positive,False,89.14
"Mantab kondisi sparepart baru.. kondisi packing kayu.. kondisi PC aman..
Terimakasih recommended seller..
Next ada rejeki beli sini lagi buat adik",Pengiriman Buruk,positive,False,96.63
"Spesifikasi:sesuai
Desain:mantap

RECOMMENDED SELLER
FAST RESPON
PACKING BAIK

after salesnya luar biasa, menanggapi semua pertanyaan dengan baik",Respon Lambat | Pengiriman Buruk,positive,False,94.58
"Mantap, pembelian kedua ditoko ini, seller komunikatif, aftersales mantap, kualitas pc oke harga terjangkau",Kualitas Buruk | Harga,positive,False,98.85
"Desain:Keren
Fungsi:Bekerja dengan baik
Spesifikasi:AMD Ryzen 5 5600 G, Monitor 24 Inch, SSD 512 GB, RAM 32 GB

Keren banget pc gamingnya, ada kendala juga diatasi memuaskan banget pelayanannya. Next time order lagi😍",Puas,positive,False,95.69
"Desain:unik anak muda banget
Fungsi:okeee banget
Spesifikasi:komplit

Aku seneng banget shoppinh di sini, seller responsive banget, aku nanya2 spek di jawab terus & memberi masukan yg baik. Ah baru kali ini belanja pc serasa belanja baju, mudaaah banget. Thx seller sukses terus yaaa 🙏🏻 berkah insha allah makasih…",,neutral,False,59.46
"Desain:modern
Fungsi:berfungsi dengan baik dan bagus poll
Spesifikasi:hight-end gaming pc

berfungsi dengan normal dan keren pokoknya terimakasih banyak seller, semoga tokonya berkah dan laris manis...Aamiin",Kualitas Bagus,positive,False,87.33
"Desain:keren
Fungsi:sesuai kebutuhan dan permintaan

Maju terussss hificomputer … sukses selalu",,positive,False,84.91
"Desain:menarik design futuristik
Fungsi:mantap lancar jaya sekali

Bagus buat gaming",Kualitas Bagus,positive,False,86.59
"Fungsi:mantap

Order yg paling murah 128gb dikasih bonus hardisk 👍 joss markojoss mantap",Harga Murah,positive,False,85.44
"Desain:menarik dan elegan
Fungsi:berfungsi dengan baik dan normal

Cocok untuk  editing vidio  bermain game dan berselancar dengan cepat 
Pejual ramah dan sangat membatu pembeli kurir cepat",Pengiriman Buruk,positive,False,83.36
"Desain:kerennn
Fungsi:real no fake
Kegunaan:libas libas

paket mendarat dengan aman terimakasih min",Barang Tidak Sesuai,neutral,False,54.51
"Respon admin gercap,pengiriman juga cepat dan ada kabel yang keluar jalur teknisi langsung dateng krmh, toko ini benar"" amanah banget .. semoga makin lancar usaha ya kak.",Respon Lambat,positive,False,95.07
"Produk bagus. Semua dibantu aman, konsultasi enak. Plug n play aja pokoknya",Kualitas Bagus,positive,False,99.18
"Desain:menarik
Fungsi:bekerja baik
Kegunaan:ok

Alhamdulillah... Terimakasih, barang ok.. Amanah, mudah mudahan awet",,neutral,False,53.01
"Desain:keren
Fungsi:sangat baik
Spesifikasi:mantap

Terimakasih",,positive,False,85.18
"Desain:mantap
Fungsi:bagus semua

adminnya ramah, nanya apapun udah pasti di jawab, packing aman banget walaupun bawa sendirian pake motor",Pengiriman Buruk,positive,False,93.29
"Desain:menarik dan modern
Fungsi:barang bekerja dengan baik
Kegunaan:game, desain dan kantor

Penjual amanah, dikirim dengan lengkap sesuai spek yang dipesan, dikemas dengan baik dan aman. Mantap 👍",Masalah Penjual,positive,False,85.56
"Desain:keren
Fungsi:sesuai spek yang dibeli
Pengalaman:lancar tanpa kendala ✨

Makasih, cpt bgt selang sehari udah sampe.",,positive,False,83.63
"Desain:cakep, putih bersih
Fungsi:ngebut, mobo siap upgrade
Kegunaan:multitasking gaming editing

pengalaman pertama beli PC harga jutaan online, PC dateng tinggal colok dan pencet gak pake drama ini itu, beneran tanpa drama..
seller dichat selalu 2menit bales, fast respon..
yang paling gak nyangka, after salesnya topp banget walopun barang sudah sampai bbrpa hari yg lalu, saya minta di instalkan aplikasi, sellernya bersedia dan langsung diambil alih pakai TEAMVIEWER, tanggungjawabnya saya akui jempol 👍👍",Harga | Respon Lambat,neutral,False,55.95
"Sepadan dengan Harga:Mantap dah,,, Puas dgn barangnya, udah d rakit rapih lg penataan kabelnya, softwarenya pun lengkap, Rekomended deh",Puas,positive,False,92.59
"Desain:Bagus
Fungsi:Sangat Baik

barang sesuai sesuai dengan yang dijelaskan, penjualnya jg ramah dan responnya cepat jadi recomend buat kalian yang lagi cari PC",,positive,False,86.77
"mantap sesuai pesanan, seller nya ramah dan amanah.
kalo masih bingung mau beli yang mana..seller nya bisa bantuin kasih rekomendasi yang sesuai budget.",Direkomendasikan,positive,False,81.45
"Desain:good

semuanya baik . sayang bukan windows 11",,neutral,False,62.45
"Desain:menarik dan modern
Fungsi:CPU berjalan dengan lancar admin juga ramah kalo ada pertanyaan",,neutral,False,57.82
