username,comment,rating,likes,create_time,comment_clean,tokens,tokens_count
o*****e,"Fitur Terbaik:ok
Sepadan dengan Harga:ok

Moga lancar n sukses
Order yg kesekian kali
Pokoknya Mantab
Amanah",5,2,1752906985,fitur terbaik ok sepadan dengan harga ok moga lancar n sukses order yg kesekian kali pokoknya mantab amanah,fitur terbaik ok sepadan dengan harga ok moga lancar n sukses order yg kesekian kali pokoknya mantab amanah,18
galenalvian,"Fungsi:normal
Fitur:mantap

mantap brokk udah 2 kali beli di toko ini tidak mengecewakan, produk berfungsi normal brokk, harganya juga murahh 🔥🔥🔥😋😋",5,7,1765095708,fungsi normal fitur mantap mantap brokk udah 2 kali beli di toko ini tidak mengecewakan produk berfungsi normal brokk harganya juga murahh,fungsi normal fitur mantap mantap brokk udah 2 kali beli di toko ini tidak mengecewakan produk berfungsi normal brokk harganya juga murahh,22
y*****e,"Fitur Terbaik:16 gb
Sepadan dengan Harga:yes

sudah terpasang tanpa kendala di asus x555ba, puas beli memori di toko ini",5,4,1752397445,fitur terbaik 16 gb sepadan dengan harga yes sudah terpasang tanpa kendala di asus x555ba puas beli memori di toko ini,fitur terbaik 16 gb sepadan dengan harga yes sudah terpasang tanpa kendala di asus x555ba puas beli memori di toko ini,21
f*****y,Barang sudah diterima dengan aman. Barang sesuai dengan deskripsi. Pengemasan dan Pengiriman cepat. Terima kasih....,5,26,1763506341,barang sudah diterima dengan aman barang sesuai dengan deskripsi pengemasan dan pengiriman cepat terima kasih,barang sudah diterima dengan aman barang sesuai dengan deskripsi pengemasan dan pengiriman cepat terima kasih,15
n*****8,"Garansi:bergaransi
Fungsi:berfungsi normal
Fitur:DDR4

Sesuai deskripsi & gambar, spec sesuai  yg dipesan. terima dlm keadaan tersegel dan bergaransi. dalam packing yg aman.
thx seller (recommended).",5,0,1751113568,garansi bergaransi fungsi berfungsi normal fitur ddr4 sesuai deskripsi gambar spec sesuai yg dipesan terima dlm keadaan tersegel dan bergaransi dalam packing yg aman thx seller recommended,garansi bergaransi fungsi berfungsi normal fitur ddr4 sesuai deskripsi gambar spec sesuai yg dipesan terima dlm keadaan tersegel dan bergaransi dalam packing yg aman thx seller recommended,27
m*****9,"jooooos gan bisa lancar jaya 
thank u 🙏 the best penjula ramah 
biar bintang yg bicara",5,4,1747057941,jooooos gan bisa lancar jaya thank u the best penjula ramah biar bintang yg bicara,jooooos gan bisa lancar jaya thank u the best penjula ramah biar bintang yg bicara,15
adhitya_budi,"Fungsi:Berfungsi terbaca semua

DDR4 16GB x2 terbaca semua 👍🏼",5,2,1759233008,fungsi berfungsi terbaca semua ddr4 16gb x2 terbaca semua,fungsi berfungsi terbaca semua ddr4 16gb x2 terbaca semua,9
teukuhanifjuliansyah,"berfungsi sangat baik..
dari 4 gb menjaid 20 gb.. 
terimakasih ... bg...",5,2,1759715662,berfungsi sangat baik dari 4 gb menjaid 20 gb terimakasih bg,berfungsi sangat baik dari 4 gb menjaid 20 gb terimakasih bg,11
martenkiddie,"Fungsi:beroperasi dengan baik
Garansi:produk dilengkapi dengan garansi resmi
Fitur:good

Semoga awet.. gak ada kendala",5,0,1747919073,fungsi beroperasi dengan baik garansi produk dilengkapi dengan garansi resmi fitur good semoga awet gak ada kendala,fungsi beroperasi dengan baik garansi produk dilengkapi dengan garansi resmi fitur good semoga awet gak ada kendala,17
inspirat.deddy,"Fungsi:baik
Garansi:garansi
Pengalaman:lancar

Sudah dua kali beli Sodim DDR4 disini, harga sangat affordable, pengiriman super cepat, seller sigap. Thank you, good job.",5,1,1761916797,fungsi baik garansi garansi pengalaman lancar sudah dua kali beli sodim ddr4 disini harga sangat affordable pengiriman super cepat seller sigap thank you good job,fungsi baik garansi garansi pengalaman lancar sudah dua kali beli sodim ddr4 disini harga sangat affordable pengiriman super cepat seller sigap thank you good job,25
balqis_n,"Garansi:ya
Kinerja:normal
Fitur:ya

Mantap terbaca semua, semoga awet.
Laptop Lenovo Ideapad 130 14ast AMD A4 9125, ram awal 4gb upgrade Langsung ke 16GB",5,3,1750861187,garansi ya kinerja normal fitur ya mantap terbaca semua semoga awet laptop lenovo ideapad 130 14ast amd a4 9125 ram awal 4gb upgrade langsung ke 16gb,garansi ya kinerja normal fitur ya mantap terbaca semua semoga awet laptop lenovo ideapad 130 14ast amd a4 9125 ram awal 4gb upgrade langsung ke 16gb,26
aditcbonk,"Garansi:bergaransi
Fungsi:sesuai spesifikasi
Fitur:ok

Barang di packing dengan aman, sehingga sampai dengan selamat juga. Saat dicoba dan di pasang berfungsi dengan baik dan lancar 
Semoga awwett...",5,2,1761015137,garansi bergaransi fungsi sesuai spesifikasi fitur ok barang di packing dengan aman sehingga sampai dengan selamat juga saat dicoba dan di pasang berfungsi dengan baik dan lancar semoga awwett,garansi bergaransi fungsi sesuai spesifikasi fitur ok barang di packing dengan aman sehingga sampai dengan selamat juga saat dicoba dan di pasang berfungsi dengan baik dan lancar semoga awwett,29
andykarbani,Pesanan sudah diterima tapi belum dipasang. Semoga bisa terdeteksi di CPU Z,5,0,1747228763,pesanan sudah diterima tapi belum dipasang semoga bisa terdeteksi di cpu z,pesanan sudah diterima tapi belum dipasang semoga bisa terdeteksi di cpu z,12
prayoga1150,"Sepadan dengan Harga:mantap pas Dipasang langsung terbaca

Harga juga standar lah",5,1,1727991573,sepadan dengan harga mantap pas dipasang langsung terbaca harga juga standar lah,sepadan dengan harga mantap pas dipasang langsung terbaca harga juga standar lah,12
s*****9,"Respon penjual sangat baik, toko amanah, beli awal ternyata RAM ga kompatibel di laptop saya, ga bisa nyala, tp dengan bantuan admin akhirnya barang bisa ditukar jenis merk lain dengan biaya tambahan karena selisih harga. Alhamdulillah RAM bisa ditukar dikirim kembali ke seller, RAM ke 2 tiba dan cocok bisa nyala laptopnya. Semoga barang awet kedepannya. Terima kasih",5,0,1752603048,respon penjual sangat baik toko amanah beli awal ternyata ram ga kompatibel di laptop saya ga bisa nyala tp dengan bantuan admin akhirnya barang bisa ditukar jenis merk lain dengan biaya tambahan karena selisih harga alhamdulillah ram bisa ditukar dikirim kembali ke seller ram ke 2 tiba dan cocok bisa nyala laptopnya semoga barang awet kedepannya terima kasih,respon penjual sangat baik toko amanah beli awal ternyata ram ga kompatibel di laptop saya ga bisa nyala tp dengan bantuan admin akhirnya barang bisa ditukar jenis merk lain dengan biaya tambahan karena selisih harga alhamdulillah ram bisa ditukar dikirim kembali ke seller ram ke 2 tiba dan cocok bisa nyala laptopnya semoga barang awet kedepannya terima kasih,58
b*****g,"Barang sesuai pesanan, dikemas dengan aman, dan berfungsi dengan baik.",5,0,1747406557,barang sesuai pesanan dikemas dengan aman dan berfungsi dengan baik,barang sesuai pesanan dikemas dengan aman dan berfungsi dengan baik,10
s*****7,"Fungsi:ram
Garansi:lifetime
Pengalaman:ok

Terima kasih seller sudah mengirimkan barang nya. Barang sudah sampai dengan aman.....",5,0,1751009035,fungsi ram garansi lifetime pengalaman ok terima kasih seller sudah mengirimkan barang nya barang sudah sampai dengan aman,fungsi ram garansi lifetime pengalaman ok terima kasih seller sudah mengirimkan barang nya barang sudah sampai dengan aman,18
n*****a,"Fungsi:berfungsi normal
Garansi:garansi toko
Pengalaman:lancar

alhamdulillah pas berfungsi dengan baik semoga aman lancar awet tahan lama",5,0,1750161523,fungsi berfungsi normal garansi garansi toko pengalaman lancar alhamdulillah pas berfungsi dengan baik semoga aman lancar awet tahan lama,fungsi berfungsi normal garansi garansi toko pengalaman lancar alhamdulillah pas berfungsi dengan baik semoga aman lancar awet tahan lama,19
modashty,"Garansi:Ya garansi
Fungsi:bekerja sangat baik
Fitur:bagus

Barang sampai dengan cepat, sesuai pesanan.",5,0,1734608578,garansi ya garansi fungsi bekerja sangat baik fitur bagus barang sampai dengan cepat sesuai pesanan,garansi ya garansi fungsi bekerja sangat baik fitur bagus barang sampai dengan cepat sesuai pesanan,15
t*****h,"Fitur Terbaik:bagus
Sepadan dengan Harga:sepadan

Bagus, berfungsi dengan baik, tidak ada kendala saat pemasangan",5,1,1705308293,fitur terbaik bagus sepadan dengan harga sepadan bagus berfungsi dengan baik tidak ada kendala saat pemasangan,fitur terbaik bagus sepadan dengan harga sepadan bagus berfungsi dengan baik tidak ada kendala saat pemasangan,16
ferdidp96,Oke sudah sampai dan berfungsi,5,1,1746402837,oke sudah sampai dan berfungsi,oke sudah sampai dan berfungsi,5
didikkristyono,"Produk sesuai pesanan.. Semoga berfungsi baik... 
Pengiriman cepat.. 
Packing just dan aman... 
Terimakasih..",5,0,1740830204,produk sesuai pesanan semoga berfungsi baik pengiriman cepat packing just dan aman terimakasih,produk sesuai pesanan semoga berfungsi baik pengiriman cepat packing just dan aman terimakasih,13
djoko_slamet9.,"Pesanan sudah diterima 
Terima kasih kurir 
Terima kasih seller 
Terima kasih Shopee",5,0,1752687595,pesanan sudah diterima terima kasih kurir terima kasih seller terima kasih shopee,pesanan sudah diterima terima kasih kurir terima kasih seller terima kasih shopee,12
andykarbani,RAM sudah terbaca CPU Z (pembelian ke-3). Terima kasih,5,0,1751349109,ram sudah terbaca cpu z pembelian ke 3 terima kasih,ram sudah terbaca cpu z pembelian ke 3 terima kasih,10
atlantiszaad,"Fungsi:Baik
Garansi:Lifetime moga aja gak adayg error
Pengalaman:DRAM MANUFAKTURNYA DARI HYNIX",5,0,1756117603,fungsi baik garansi lifetime moga aja gak adayg error pengalaman dram manufakturnya dari hynix,fungsi baik garansi lifetime moga aja gak adayg error pengalaman dram manufakturnya dari hynix,14
n*****7,"Fungsi:100% working
Garansi:lifetime...mantabbb
Pengalaman:semoga menjadi toko terpercaya

Semoga jd toko terpercaya....jaman skrg susah cari toko yg terpercaya...",5,0,1752629706,fungsi 100 working garansi lifetime mantabbb pengalaman semoga menjadi toko terpercaya semoga jd toko terpercaya jaman skrg susah cari toko yg terpercaya,fungsi 100 working garansi lifetime mantabbb pengalaman semoga menjadi toko terpercaya semoga jd toko terpercaya jaman skrg susah cari toko yg terpercaya,22
monfaisalkhan,,5,0,1740843477,,nan,1
k*****9,"Fungsi:Terbaca di CPU Z dan sistem dan berfungsi dengan baik
Pengalaman:lancar tanpa kendala",5,0,1754030214,fungsi terbaca di cpu z dan sistem dan berfungsi dengan baik pengalaman lancar tanpa kendala,fungsi terbaca di cpu z dan sistem dan berfungsi dengan baik pengalaman lancar tanpa kendala,15
marcelloyudhap,real pict,5,0,1751607383,real pict,real pict,2
f*****y,"Sepadan dengan Harga:bagus
Fitur Terbaik:bagus

barang bagus, pengiriman cepat, kualitas baik, seller ramah,",5,0,1702020636,sepadan dengan harga bagus fitur terbaik bagus barang bagus pengiriman cepat kualitas baik seller ramah,sepadan dengan harga bagus fitur terbaik bagus barang bagus pengiriman cepat kualitas baik seller ramah,15
andykarbani,RAM sudah terdeteksi di CPU Z ☺👍🙏,5,0,1747570473,ram sudah terdeteksi di cpu z,ram sudah terdeteksi di cpu z,6
fandiachmadramadhani,,5,0,1719544635,,nan,1
ramdandwicahya,"Fungsi:berjalan dengan semestinya
Garansi:bagus
Pengalaman:joss",5,1,1758951477,fungsi berjalan dengan semestinya garansi bagus pengalaman joss,fungsi berjalan dengan semestinya garansi bagus pengalaman joss,8
,"Pengiriman : Cepettt kilatt
Mantulll",5,0,1608522866,pengiriman cepettt kilatt mantulll,pengiriman cepettt kilatt mantulll,4
d*****z,,5,1,1703262487,,nan,1
aziyzmaulana10,"So far oke, semoga awet",5,1,1718059946,so far oke semoga awet,so far oke semoga awet,5
nando1303,,5,1,1746402857,,nan,1
defaaliffasya,mantap lur,5,0,1681353013,mantap lur,mantap lur,2
ashoot2720,"Belom d test

Semoga bisa dan lancar",5,0,1756722416,belom d test semoga bisa dan lancar,belom d test semoga bisa dan lancar,7
h*****9,Merk samsung tp DRAM Manufacturer nya HYNIX...bekerja 100%,5,0,1687528757,merk samsung tp dram manufacturer nya hynix bekerja 100,merk samsung tp dram manufacturer nya hynix bekerja 100,9
d*****_,Fungsi:mantap,5,0,1750718602,fungsi mantap,fungsi mantap,2
e*****6,"Kinerja:work
Fitur:Bagus",5,0,1728388593,kinerja work fitur bagus,kinerja work fitur bagus,4
yoachan,Lancar jaya. Terima kasih banyak.,5,0,1704460311,lancar jaya terima kasih banyak,lancar jaya terima kasih banyak,5
ukyries,Mantap sesuai pesanan,5,0,1667552577,mantap sesuai pesanan,mantap sesuai pesanan,3
soumyplanet,terima kasih,5,0,1748330308,terima kasih,terima kasih,2
otta0230,,5,0,1756977498,,nan,1
lucky_kusumah,,5,0,1749628471,,nan,1
m*****n,,5,0,1759050263,,nan,1
muhammad_sb,,5,0,1745565062,,nan,1
moh_t4ufiq,Udah terpasang dan cocok,5,0,1728976271,udah terpasang dan cocok,udah terpasang dan cocok,4
