username,comment,rating,likes,create_time
missdyan.shop,"Masya Allah ka, terimakasih sudah Amanah. laptopnya bagus. Harga terjangkau, tapi kondisinya masih Mulus. Cm permasalah hanya tempat utk colok USB aja. Yg sebelah kiri ga konek 22nya tapi sebelah kanan deket charger bisa. 
Tapi serius laptopnya Baguusss",5,316,1765801677
mamased357,"Fitur Terbaik:toshiba leptop bagus merk berkwalitas
Sepadan dengan Harga:bagus leptop nya

Paket sudah sampai boss ku,,, Terima kasih sekali,,, leptop nya bagus,, dan berfungsi dengan baik,,, tidak ada kendala sama sekali,, toko amanah,, alhamdulillah,, senang sekali anak saya,,, untuk kuliah,,, dan untuk belajar anak saya yg satu masih SD klas 5
Yg satunya kuliah S1,,, 
Alhmdulillah,,sudah sampai yg d tunggu,,, 
Trimakasih Shopee
Trima kasih juga seller nya
Juga trima kasih buat mas kurir nya,,, paket di antar dgn selamat",5,93,1765283216
d*****7,"Sepadan dengan Harga:murah tapi bagus. sesuai dengan harga
Fitur Terbaik:packing aman, laptopnya bagus, enak dipakai, fitur lengkap tinggal pakai saja.

penjualnya sangat komunikatif dan bertanggung jawab. gak nyesel deh belanja disini. rekomended",5,29,1755190776
arsha38,"Fitur Terbaik:iya
Sepadan dengan Harga:murah tapi nda murahan

Alhamdulillah barang sudah sampai dengan aman  kurir nya pun baik amanah semua nya aman,yang punya toko ini baik ramah respon nya cepat bahkan ada garansi nya pula,mudah mudahan semua nya baik baik saja dan kalau ada kendala pun yang punya toko siap bertanggung jawab,oke sukses,,sehat selalu buat semua nya,Amin yra",5,42,1753618881
ibunita121,"Fitur Terbaik:Sangat Baik
Sepadan dengan Harga:Sangat Baik

Alhamdulillah, fast respons. Di luar dugaan, laptopnya masih mulus banget. Dikasih MOUSE jg. Terima kasih, semoga berkah",5,4,1761934283
kasno_familly,"Fitur Terbaik:packing bagus , pengiriman cepat respon pelapak baik
Sepadan dengan Harga:paas dg harga nya

Alhamdulillah paketan laptop nya sudah sampai lebih cepat dari jadwal nya, recommend sekali laptop nya, Semoga bisa digunakan dg sebaik-baik nya untuk kerja dan berkah amiiin ...",5,15,1751688726
s*****0,"Alhamdulilah bang laptop mendarat dengan sempurna hanya saja belom di chek keseluruhan, tapi kalau segi luaran udh oke no Lecet, terimakasih sudh mengirim barang dengan kualitas bagus. Semoga selalu sukses dan selalu amanah membantu sesama.",5,27,1754915085
alfatihnur148,"Kondisi Barang:selamt gak ada yg rusak
Kualitas:baik dan normal
Permukaan:mantaf

Trimakasih buat seler suda memilihkan yg terbaik dantrimakasih juga buat kurir yang telah mengantar juga trimakasih buat pihak Shopi 👍👍👍",5,9,1765818672
samsuri83,"Kualitas:bagus dan memuaskan
Permukaan:masih mulus
Kondisi:terawat dengan baik

Barang pesanan sudah sampai tujuan sudah di coba cuman minus battreinya saja harus sambil di colok terima kasih kak",5,9,1758810637
jumenap,"Alhamdulilah barangnya sudah nyampe....dengan berfungsi dengan baik..terimakasih banyak...sangat puas beli di toko ini....dan pengirimannya juga cepat....dan mudah"" awet barangnya",5,8,1746675103
kustriana,"Alhamdulilah..barang dah nyampe,pengepakkan barang mantap. Mulus dan berpungsi. Mudah2ab awet danrekomendasi banget. Makasih seller,sophie dan kurir.👍👍",5,13,1749053203
ikmahsumbawa,"Kondisi Barang:mulus
Kualitas:kualitas bagus
Permukaan:mulus kenceng walau minus badrai sepadan dgn harga",5,5,1745515354
i*****t,"Kondisi Barang:mulus
Kualitas:seperti baru
Permukaan:mulus kaya pantat bayi

Mantapp jangan ragu, beli ditoko ini pengemasan nya tebel kardusnya.mantaaap buat belajar ngetik .",5,2,1743644696
acepargaps,"Fitur Terbaik:Baik

Ya Sepadan barang bagus, penjual Amanah👍",5,0,1675323977
bobbyadiputra12,"Barang bagus datang ya tapi yang jadi kendala ya tdk ada tas di dalam deskripsi ada keterangan ada tas ini tidak ada, tapi dpp yang penting mudah2an awet 🙏",4,17,1743844403
8p3cg1a00t,"Fitur Terbaik:bagusss...diluar dugaan
Sepadan dengan Harga:5jt

Bagusss seperti baru",5,5,1739946040
ekasarirahayu,"Fitur Terbaik:bagus banget kaya baru

Bagus bangett, pengirimannya juga cepat, respon penjual nya juga baik terimakasih",5,0,1760587241
lumintuslalu,"Kondisi Barang:sangat baik
Kualitas:baik
Permukaan:mulus",5,0,1737269118
budiekasaputra07,Barang bagus berfungsi dgn baik sepadan dgn harganya,5,1,1715037661
f*****8,"Kondisi Barang:mulus banget
Fungsi:bekerja
Permukaan:mulus

Sumpah keren bet harga 700 bisa dapat leptop kek gini, gak apa apa sih kalau cuman minus baterai",5,0,1750614250
m*****a,"Fitur Terbaik:terimakasih , penjual amanah, fungsi normal cuma nge bayang di lcd doang  batre lumayan ,sesuai harg",4,7,1736004227
paulus803,"Battere laptop Acer, sudah saya terima, mudah2an awet. 
Rekomended seller.",5,2,1715262175
msirajulghoni78,"Kualitas:bagus
Permukaan:lumayan muly
Kondisi:masih bagus

Mudah-mudahan awet dan bermanfaat sudah dipakai 2 hari",5,0,1717243445
auriyandi,"Pengiriman bener² cepat pesan tgl 1 tgl 3 da sampai,laptop bagus masih mulus tapi layar nya kok ada bercak² hitam",5,4,1744771217
